Colony_ID,Center_X,Center_Y,Area_Pixels
1,1001,949,99.5
2,826,922,124.0
3,1014,918,2247.5
4,1108,883,503.0
5,951,864,312.0
6,982,859,974.5
7,1150,841,466.0
8,1207,847,1367.0
9,1252,831,1278.0
10,1058,815,451.0
11,889,827,2109.5
12,1244,776,2044.0
13,956,738,99.5
14,995,737,547.5
15,1077,743,5427.0
16,1125,687,361.0
17,851,664,165.5
18,780,661,190.0
19,1235,679,4058.0
20,921,645,954.0
21,825,630,391.0
22,801,608,191.5
23,1303,598,161.0
24,716,554,161.5
25,868,574,1693.0
26,817,546,131.0
27,793,537,130.5
28,980,550,1625.0
29,1249,523,923.0
30,678,502,99.0
31,1339,529,7106.0
32,702,486,291.0
33,774,450,625.0
34,1203,439,3524.5
35,742,358,273.5
36,1187,360,1476.5
37,957,332,1757.0
38,855,337,2650.0
39,1190,282,1063.0
40,1022,204,697.0
41,1044,192,90.0
42,866,188,4511.0
43,935,146,179.0
