Colony_ID,Center_X,Center_Y,Area_Pixels
2,1165,869,685.0
3,1223,845,32.5
5,1230,829,164.5
6,1192,835,556.5
7,1233,807,172.0
8,1261,803,325.0
9,1205,802,600.5
10,1187,782,323.5
11,1301,772,120.5
12,1245,772,285.5
13,1280,765,296.0
14,1223,762,119.0
15,1220,729,576.5
16,1244,716,140.0
17,1239,682,109.0
18,1208,664,81.0
20,1316,660,100.0
21,678,651,36.5
22,1256,651,390.5
23,1189,644,81.0
24,1287,632,181.0
25,1336,615,130.5
26,1306,612,171.0
27,1322,686,7973.0
30,1327,693,328.5
33,669,596,123.5
34,1305,594,119.0
35,1362,589,209.0
36,1386,551,118.0
37,1384,529,211.5
38,1211,385,118.0
39,1248,374,109.5
40,700,395,657.0
41,1269,355,141.0
42,719,340,71.5
43,1271,336,270.5
44,1218,329,81.0
45,1245,343,883.5
46,733,329,162.5
48,1316,320,40.5
49,1271,313,275.0
50,1244,304,90.0
51,1212,298,90.0
52,748,302,62.5
53,1268,293,109.5
54,1289,292,153.0
55,799,292,216.0
56,774,305,1038.5
57,1244,280,100.0
58,1277,276,65.5
59,854,269,109.0
60,813,271,472.0
61,873,263,161.5
62,1075,256,109.0
63,798,253,40.0
64,1102,254,333.5
65,856,248,201.5
67,1067,238,90.0
68,984,234,482.5
69,845,231,380.5
70,891,225,578.0
71,1054,220,167.0
72,909,205,657.0
73,1037,193,81.0
74,1014,200,485.5
75,936,191,81.0
76,994,550,331063.5
78,937,881,33.0
80,985,874,165.5
81,1036,861,75.0
88,868,838,95.5
91,935,839,227.5
97,929,815,129.5
98,1029,827,238.0
100,945,806,46.5
102,898,811,123.0
108,1096,813,516.5
110,1062,786,38.0
111,780,787,36.0
112,1022,788,141.0
113,803,797,212.5
119,956,776,48.0
120,934,784,202.0
121,1010,776,77.5
124,948,769,40.0
125,1033,764,33.0
129,779,763,101.5
131,1054,760,61.0
132,1075,761,76.5
136,814,749,65.0
137,798,748,55.0
141,1098,744,58.0
143,857,740,106.0
152,1144,729,45.0
153,929,740,195.0
155,1024,726,59.0
158,899,725,116.0
160,788,719,37.0
165,944,723,180.5
169,715,708,46.0
172,776,706,42.0
174,1051,702,50.5
175,999,700,30.0
179,1148,698,299.5
183,913,685,53.5
184,809,695,235.0
185,940,685,62.5
194,743,677,149.0
204,776,666,38.5
206,910,663,40.5
207,852,666,38.5
215,1070,655,166.0
216,710,654,64.0
217,1097,657,97.0
218,877,646,59.5
221,701,642,35.0
222,802,647,163.5
223,935,642,43.5
224,987,638,39.5
232,1162,633,92.0
235,749,636,250.0
239,909,623,31.5
242,733,619,122.0
247,986,615,87.0
248,793,613,117.5
249,1181,612,135.5
250,1040,609,38.0
251,1011,618,196.5
252,769,611,107.0
253,895,608,188.5
254,698,611,326.0
255,924,601,70.0
259,1028,597,131.5
262,1167,600,372.0
269,1043,579,111.0
272,974,566,72.0
273,1174,566,41.5
274,1007,555,34.5
276,1227,574,1905.0
280,979,542,54.5
284,1095,544,161.0
285,957,543,169.5
290,943,531,48.5
293,1316,539,636.0
300,1069,549,873.5
301,690,515,53.0
302,950,508,85.5
303,1084,510,73.5
305,1107,506,43.0
306,771,527,2681.5
308,1271,499,408.0
309,853,525,4250.5
310,847,526,1172.0
313,962,476,93.5
314,1358,488,633.5
330,1261,429,33.0
335,1156,425,44.0
336,959,429,66.5
337,1256,423,43.0
341,1243,482,6957.5
344,967,416,46.0
348,854,411,40.0
350,740,414,99.0
361,777,405,127.0
363,1049,436,4681.5
364,1052,437,553.0
370,741,384,46.0
374,1324,390,759.5
381,796,371,49.5
386,819,365,61.5
387,898,364,77.0
397,864,344,73.0
398,905,342,91.0
401,1143,335,58.0
403,828,330,57.5
405,881,329,75.0
407,984,315,37.0
408,1138,321,99.0
410,858,317,565.5
411,971,305,96.0
415,909,311,450.5
417,1072,325,2525.0
424,1018,291,370.5
425,1050,274,34.0
428,1005,277,137.0
434,1183,242,35.0
436,939,244,205.0
441,1136,220,37.5
442,948,221,57.0
444,989,189,206.0
445,952,191,263.5
446,1019,176,60.0
