Colony_ID,Center_X,Center_Y,Area_Pixels
1,813,796,874.0
2,747,798,979.5
3,1287,731,154.0
4,972,625,898.0
5,1360,556,854.5
6,723,560,1341.0
7,639,554,4869.0
8,1314,516,1195.5
9,1265,496,126.5
10,1242,499,742.0
11,1309,477,884.0
12,1154,476,1162.5
13,814,466,473.5
14,1205,470,576.0
15,1128,440,231.5
16,1117,429,81.0
17,1300,424,546.5
18,1113,404,194.0
19,1300,391,139.5
20,861,393,1357.0
21,1337,366,860.0
22,1313,348,256.5
23,1264,355,2687.0
24,1119,327,1002.0
26,1196,316,2379.5
27,1048,304,1723.0
28,900,315,5322.5
30,1263,269,887.0
31,1194,259,351.5
32,1072,247,857.5
33,1269,232,662.5
34,921,219,244.0
35,1113,217,761.0
36,1081,209,352.0
37,1176,226,2532.5
38,754,203,229.5
39,805,217,3758.0
40,1117,172,466.5
41,974,172,2758.5
42,901,141,232.5
43,1139,156,1346.0
44,1072,158,2426.5
