Colony_ID,Center_X,Center_Y,Area_Pixels
1,688,717,1057.5
2,625,721,1281.0
3,1265,601,763.0
4,883,588,858.5
5,1163,546,1418.0
6,1096,514,1653.0
7,1044,478,191.5
8,650,470,1586.0
9,1030,449,169.5
10,1029,429,213.0
11,571,440,4419.0
12,1289,406,701.5
13,766,397,198.0
14,1026,398,400.5
15,1142,360,204.0
16,1044,367,678.0
17,833,344,237.5
18,834,322,257.5
19,1245,308,1300.5
20,1034,311,2233.0
21,1022,266,232.0
22,1147,245,799.5
23,1051,242,1033.5
24,893,290,4370.5
27,1199,376,17313.0
30,1210,384,1299.5
31,850,222,1080.0
32,802,167,196.5
33,983,155,2405.0
34,1105,188,7802.0
37,946,115,81.0
38,801,156,5187.5
39,908,103,179.5
