Colony_ID,Center_X,Center_Y,Area_Pixels
1,888,888,52361
2,885,892,51430
3,417,65,10274
4,852,477,6966
5,858,478,6516
6,602,691,5781
7,945,676,5371
8,756,632,4558
9,722,388,4277
10,722,389,3698
11,711,326,3582
12,750,794,3458
13,534,867,3344
14,766,471,2887
15,924,335,2884
16,709,317,2839
17,768,729,2695
18,375,285,2592
19,767,728,2440
20,783,787,2319
21,375,139,1847
22,477,282,1771
23,948,435,1748
24,369,276,1655
25,729,798,1653
26,500,500,1521
27,676,789,1456
28,414,781,1450
29,779,786,1320
30,756,633,1255
31,498,809,996
32,776,786,927
33,680,75,863
34,389,304,680
35,711,231,657
36,296,399,390
37,514,688,385
38,432,950,341
39,391,958,321
40,630,832,217
41,647,637,144
42,930,268,124
43,301,611,95
44,579,764,81
45,489,979,34
