Colony_ID,Center_X,Center_Y,Area_Pixels
1,157,857,53340
2,847,848,48311
3,847,853,47439
4,839,857,46525
5,152,321,8797
6,829,499,7668
7,157,323,6977
8,535,239,6974
9,709,231,6301
10,710,231,6127
11,668,544,5694
12,731,718,5163
13,842,516,4823
14,735,405,4560
15,572,739,4476
16,557,253,3993
17,250,407,3319
18,501,212,3150
19,638,285,3000
20,579,728,2900
21,852,500,2871
22,409,564,2506
23,805,468,2485
24,709,845,2432
25,471,474,2177
26,314,337,1965
27,826,541,1862
28,595,731,1616
29,712,836,1613
30,667,699,1611
31,266,413,1586
32,233,402,1578
33,225,102,1464
34,404,632,1426
35,780,572,1413
36,492,582,1311
37,424,565,1247
38,554,769,1232
39,471,478,1189
40,391,562,1151
41,226,616,1144
42,261,536,1107
43,887,355,1057
44,673,692,1037
45,406,691,953
46,601,601,844
47,552,768,829
48,415,631,759
49,548,724,738
50,172,494,659
51,196,158,653
52,458,640,634
53,720,109,628
54,56,297,622
55,518,175,588
56,232,609,557
57,174,255,542
58,383,633,491
59,828,239,487
60,278,204,479
61,693,874,466
62,464,742,431
63,903,406,407
64,369,665,381
65,396,138,347
66,694,518,337
67,317,696,319
68,202,161,304
69,755,154,278
70,369,666,262
71,669,236,255
72,753,829,236
73,286,649,209
74,528,44,182
75,189,145,137
76,228,636,45
77,699,610,44
78,111,553,43
