Colony_ID,Center_X,Center_Y,Area_Pixels
1,477,868,98025
2,864,871,48451
3,707,418,34538
4,669,400,18013
5,761,474,10452
6,672,148,5382
7,442,270,4406
8,143,439,4221
9,540,136,3705
10,727,240,3480
11,439,255,3043
12,623,111,2716
13,141,443,2685
14,722,327,2658
15,637,156,2328
16,700,136,2287
17,316,107,2206
18,372,163,2185
19,716,238,2172
20,784,379,2112
21,617,111,2095
22,583,285,1901
23,799,535,1873
24,140,451,1627
25,648,154,1374
26,451,307,1271
27,706,467,1134
28,665,213,1071
29,622,158,1029
30,387,329,948
31,890,671,802
32,753,226,761
33,786,831,754
34,800,295,721
35,218,463,692
36,733,272,677
37,682,170,644
38,444,577,643
39,140,414,567
40,651,109,554
41,854,408,527
42,217,463,495
43,189,695,484
44,816,261,473
45,837,596,443
46,622,233,330
47,928,592,317
48,254,708,302
49,325,390,299
50,715,174,218
51,804,506,174
52,775,842,151
53,834,383,48
